station ID, station name, total num of trips, avg trip duration, avg trip distance, max trip duration, max trip distance, % of one-way trips, diff start-end stations
3072, Front & Carpenter, 3332, 9.68, 0.00878, 1440, 0.07535, 43.27731, 252
3073, 9th & Spring Garden, 4046, 12.10, 0.00755, 1440, 0.06627, 44.73554, 14
3074, 44th & Walnut, 3722, 10.14, 0.01263, 929, 0.08173, 47.77002, 90
3075, Fairmount & Ridge, 3247, 10.74, 0.00839, 1440, 0.05856, 52.04804, 391
3077, 17th & Girard, 1134, 13.49, 0.01000, 1440, 0.06081, 53.52734, 134
3078, 19th & Market, 7272, 11.40, 0.00825, 1440, 0.04714, 47.08471, 14
3086, Broad & Christian, 3746, 8.14, 0.00678, 942, 0.05902, 46.31607, 36
3088, 3rd & Girard, 2009, 14.80, 0.01092, 1440, 0.07812, 42.95669, 131
3093, 33rd & Diamond, 559, 17.48, 0.00964, 528, 0.06306, 38.46154, 55
3095, 29th & Diamond, 872, 31.28, 0.00618, 1440, 0.05976, 30.27523, 0
3096, 29th & Dauphin, 615, 38.44, 0.00722, 1440, 0.06058, 36.91057, 13
3097, "Berks Station MFL", 2227, 14.49, 0.01198, 1440, 0.09060, 40.77234, 201
3098, 10th & Federal, 3401, 11.17, 0.00905, 1440, 0.06100, 47.95648, 7
3099, 4th & Washington, 3128, 13.01, 0.00895, 1130, 0.07544, 44.40537, 20
3100, Moyamensing & Tasker, 4995, 9.72, 0.01075, 1209, 0.07917, 44.84484, 189
3101, 11th & South, 9826, 10.01, 0.00727, 1440, 0.07355, 46.85528, 120
3102, 26th & Pennsylvania, 7800, 12.50, 0.00831, 1440, 0.05056, 44.57692, 52
3103, "27th & Master Athletic Recreation Center", 715, 21.64, 0.00921, 1247, 0.05167, 41.11888, 23
3104, 34th & Mantua, 1317, 11.68, 0.00965, 1256, 0.05654, 46.46925, 85
3105, Penn Treaty Park, 921, 15.79, 0.00925, 1440, 0.08121, 37.02497, 15
3106, 33rd & Dauphin, 1125, 20.11, 0.01248, 600, 0.07313, 38.57778, 17
3107, 33rd & Reservoir, 1032, 21.27, 0.01167, 1440, 0.06363, 43.02326, 66
3108, 15th & Market, 8810, 10.95, 0.00813, 1440, 0.05274, 47.09421, 18
3109, Parkside & Girard, 1269, 15.46, 0.01228, 1408, 0.07535, 41.29236, 43
3110, Del. River Trail & Penn St., 2450, 13.70, 0.00943, 949, 0.08222, 40.69388, 142
3111, "Parkside & Belmont Case Buildling", 1265, 17.65, 0.01419, 1139, 0.08304, 38.18182, 19
3112, 48th & Spruce, 2965, 11.71, 0.01660, 1104, 0.07961, 50.92749, 231
3113, Philadelphia Zoo, 507, 14.53, 0.01090, 594, 0.06792, 42.99803, 13
3114, 22nd & Federal, 4055, 8.46, 0.00857, 1440, 0.06225, 46.97904, 9
3115, "19th & Girard PTTI", 1574, 9.96, 0.00970, 656, 0.04781, 53.62135, 206
3117, ParkWest Town Center, 522, 16.80, 0.01569, 300, 0.08579, 45.01916, 48
3118, "46th Street Station MFL", 1847, 13.20, 0.01129, 1402, 0.07273, 45.64158, 21
3119, 42nd & Lancaster, 1702, 18.35, 0.00945, 1440, 0.07558, 39.83549, 20
3120, 31st & Girard, 3625, 12.80, 0.01179, 1425, 0.05936, 48.00000, 103
3121, 26th & Poplar, 3310, 13.15, 0.01157, 1440, 0.05317, 54.80363, 452
3122, "24th & Cecil B. Moore Cecil B. Moore Library", 562, 49.50, 0.00733, 1440, 0.05054, 35.76512, 18
3123, 22nd & Cecil B. Moore, 735, 16.94, 0.00998, 1440, 0.04482, 47.75510, 47
3124, Race Street Pier, 4571, 15.17, 0.00827, 1440, 0.07365, 40.42879, 139
3125, 15th & South, 6827, 9.16, 0.00741, 1440, 0.05636, 47.97129, 51
3129, "The Children's Hospital of Philadelphia East Service Drive", 2397, 7.77, 0.01133, 640, 0.05734, 52.14852, 167
3150, "15th & Castle DiSilvestro Playground", 1982, 11.30, 0.00876, 1278, 0.05915, 43.49142, 66
3152, "40th & Woodland Trolley Portal", 879, 14.29, 0.01277, 942, 0.06973, 52.44596, 97
3153, "Thompson & Palmer Adaire School", 1574, 12.48, 0.01533, 689, 0.08269, 45.48920, 14
3154, 12th & Callowhill, 3659, 8.70, 0.00765, 1440, 0.06029, 49.60372, 185
3155, 7th & Fitzwater, 122, 18.84, 0.00683, 1440, 0.03706, 47.54098, 4
